Code	Description	Class
A	Business Personal Property	L1
B	Mobile Homes	M3
C	Pipelines	J6
D	Railroads	J5
E	Minerals	G1
F	Vessels	L1
G	Commercial Aircraft	L1
H	Private Aircraft	L1
I	Leased Equipment	L1
J	Private Water Systems	J1
K	Gas Distribution	J2
L	Electric Transmission	J3
M	Telephone Company	J4
N	Stored Products (WHSE)	L2
O	Tank Farms (Products Inside Tanks)	L2
P	Stored Pipe	L2
Q	Dealer Inventory	S1
R	Real Property Other Mineral Reserves	G2
S	Billboards	L1
T	Vehicles	L1
V	General Industrial	L2
W	Electrical Distribution Lines	J3
X	Major CableTV Systems	J7
Y	Radio, Cellular, TV and Cable	L2
Z	Multi-Locations	L1
