Code	Description
001	HOUSTON ISD
002	DEER PARK ISD
003	WALLER ISD
004	CYPRESS-FAIRBANKS ISD
005	CROSBY ISD
006	CHANNELVIEW ISD
007	NEW CANEY ISD
008	ALIEF ISD
009	ALDINE ISD
012	HOUSTON ISD (FORMERLY NFISD
015	GALENA PARK ISD
016	GOOSE CREEK CISD
017	KLEIN ISD
018	HUMBLE ISD
019	KATY ISD
020	LA PORTE ISD
021	PASADENA ISD
023	SHELDON ISD
024	SPRING ISD
025	SPRING BRANCH ISD
026	TOMBALL ISD
027	CLEAR CREEK ISD
028	DAYTON ISD
029	PEARLAND ISD
030	HUFFMAN ISD
031	STAFFORD MSD
040	HARRIS COUNTY
041	HARRIS CO FLOOD CNTRL
042	PORT OF HOUSTON AUTHY
043	HARRIS CO HOSP DIST
044	HARRIS CO EDUC DEPT
045	LONE STAR COLLEGE SYS
046	LEE JR COLLEGE DIST
047	SAN JACINTO COM COL D
048	HOU COMMUNITY COLLEGE
051	CITY OF BAYTOWN
052	CITY OF BELLAIRE
053	BUNKER HILL VILLAGE
054	CITY OF DEER PARK
055	HEDWIG VILLAGE
056	CITY OF EL LAGO
057	CITY OF GALENA PARK
058	CITY OF FRIENDSWOOD
059	CITY OF PEARLAND
060	HILSHIRE VILLAGE
061	CITY OF HOUSTON
062	CITY OF HUMBLE
063	CITY OF KATY
064	MISSOURI CITY
065	HUNTERS CREEK VILLAGE
066	CITY OF JACINTO CITY
067	CITY OF LEAGUE CITY
070	JERSEY VILLAGE
071	CITY OF LAPORTE
072	CITY OF MORGANS POINT
073	CITY OF NASSAU BAY
074	CITY OF PASADENA
075	PINEY POINT VILLAGE
076	CITY OF SEABROOK
077	CITY OF SHOREACRES
078	CITY OF SOUTH HOUSTON
079	CITY OF SOUTHSIDE PL
080	CITY OF SPRING VALLEY
082	TAYLOR LAKE VILLAGE
083	CITY OF TOMBALL
084	CITY OF WEBSTER
085	WEST UNIVERSITY PLACE
086	CITY OF WALLER
100	HC MUD 421
101	ADDICKS UD
105	HC MUD 264
106	HC MUD 502
108	HC MUD 255
110	BAKER ROAD MUD
111	BAMMEL UD
112	BARKER-CYPRESS MUD
116	BEECHNUT MUD
117	BILMA PUD
118	BISSONNET MUD
120	WEST RANCH MGMT DIST
121	BRIDGESTONE MUD
124	BAYBROOK MUD 1
125	THE WOODLANDS TOWNSHIP
128	HC MUD 250
129	HC MUD 276
131	CNP UD
134	CASTLEWOOD MUD
135	CEDAR BAYOU PARK UD
136	CHARTERWOOD MUD
137	CHELFORD CITY MUD
138	CHELFORD ONE MUD
139	CHIMNEY HILL MUD
140	CIMARRON MUD
141	CLAY ROAD MUD
142	CLEAR LAKE CITY WA
145	CORNERSTONES MUD
146	CROSBY MUD
147	CY-CHAMP PUD
148	CYPRESS CREEK UD
149	CYPRESS FOREST PUD
150	CYPRESS HILL MUD 1
151	CYPRESS KLEIN UD
152	CYPRESSWOOD UD
153	CAMFIELD MUD
154	LOWER KIRBY PEARLAND MGMT DIST
155	HC MUD 403
156	HC MUD 278
159	HC MUD 290
161	MEADOWHILL REGNL MUD
162	DOWDELL PUD
163	EL DORADO UD
164	EMERALD FOREST UD
165	ENCANTO REAL UD
170	HC MUD 286
171	FALLBROOK UD
172	FAULKEY-GULLY MUD
174	FOREST HILLS MUD
175	FOUNTAINHEAD MUD
176	FRY ROAD MUD
177	HC MUD 415
179	HC MUD 304
180	HC MUD 275
182	GRANT ROAD PUD
183	GREENWOOD UD
185	GREEN TRAILS MUD
186	GREENS PARKWAY MUD
187	HC MUD 287
189	HC MUD 489
190	HC MUD 284
193	HC MUD 285
197	HC MUD 401
200	HC FWSD 1A
205	HC MUD 321
206	HC FWSD 6
207	HC MUD 282
208	HC MUD 316
213	HC MUD 322
220	HC MUD 342
222	HC MUD 344
224	HC MUD 345
225	HC MUD 346
227	HC FWSD 27
228	HC MUD 404
229	HC MUD 412
230	HC MUD 407
231	HC MUD 405
232	HC MUD 433
234	HC MUD 451
235	HC MUD 459
237	HC MUD 434
238	HC MUD 439
241	HC MUD 460
242	HC MUD 450
243	HC MUD 480
244	PEARLAND MUNICIPAL MANAGEMENT DISTRICT #1
246	H C MUD 432
247	HC FWSD 47
248	HC MUD 481
249	HC MUD 406
250	HC MUD 402
251	HC FWSD 51
253	BRAZORIA COUNTY MUD 18
254	KINGS MANOR MUD
255	H C MUD 501
256	HARRIS BRAZORIA COUNTIES MUD 509
