acct	sched_cd	pipe_usage	pipe_size	Pipe_Mileage	Year_Installed	Pipe_Type	Regulation	Usage_Factor	Status	Pipe_ID	HCAD_ID
0224601	C	1.0000	04	0.23000000	1960	T	URG	1.0000	 	0263	0263
0224610	C	1.0000	04	2.08000000	1960	T	URG	1.0000	 	0263	0263
0224614	C	1.0000	04	6.92000000	1960	T	URG	1.0000	 	0263	0263
0224649	C	1.0000	04	0.40000000	1960	T	URG	1.0000	 	0263	0263
0224651	C	1.0000	04	5.82000000	1960	T	URG	1.0000	 	0263	0263
0224670	C	1.0000	04	6.76000000	1936	T	URG	1.0000	 	0262	0262
0224676	C	1.0000	04	1.81000000	1936	T	URG	1.0000	 	0262	0262
0224682	C	1.0000	04	3.57000000	1936	T	URG	1.0000	 	0262	0262
0224700	C	1.0000	06	1.07000000	1937	T	URG	1.0000	 	0265	0265
0226743	C	1.0000	30	6.35000000	1950	T	FPC	1.0000	 	0579	0579
0226744	C	1.0000	30	0.02000000	1963	T	FPC	1.0000	 	0582	0582
0226745	C	1.0000	30	2.20000000	1964	T	FPC	1.0000	 	0583	0583
0226750	C	1.0000	30	0.51000000	1950	T	FPC	1.0000	 	0579	0579
0226753	C	1.0000	30	0.52000000	1965	T	FPC	1.0000	 	0584	0584
0226754	C	1.0000	30	0.19000000	1950	T	FPC	1.0000	 	0579	0579
0226755	C	1.0000	30	0.19000000	1965	T	FPC	1.0000	 	0584	0584
0226756	C	1.0000	30	0.06000000	1950	T	FPC	1.0000	 	0579	0579
0226757	C	1.0000	30	0.24000000	1965	T	FPC	1.0000	 	0584	0584
0226758	C	1.0000	30	0.41000000	1950	T	FPC	1.0000	 	0579	0579
0226759	C	1.0000	30	0.38000000	1965	T	FPC	1.0000	 	0584	0584
0226760	C	1.0000	30	0.23000000	1950	T	FPC	1.0000	 	0579	0579
0226761	C	1.0000	30	0.23000000	1965	T	FPC	1.0000	 	0584	0584
0226762	C	1.0000	30	0.67000000	1950	T	FPC	1.0000	 	0579	0579
0226763	C	1.0000	30	0.67000000	1965	T	FPC	1.0000	 	0584	0584
0226764	C	1.0000	30	0.70000000	1950	T	FPC	1.0000	 	0579	0579
0226765	C	1.0000	30	0.70000000	1965	T	FPC	1.0000	 	0584	0584
0226766	C	0.0000	00	0.00000000	 	2	 	0.0000	 	0000	0000
0226770	C	1.0000	30	5.03000000	1964	T	FPC	1.0000	 	0583	0583
0226779	C	1.0000	30	2.66000000	1950	T	FPC	1.0000	 	0579	0579
0226783	C	1.0000	30	2.59000000	1964	T	FPC	1.0000	 	0583	0583
0226795	C	1.0000	30	0.62000000	1966	T	FPC	1.0000	 	0585	0585
0226796	C	1.0000	30	0.25000000	1976	T	FPC	1.0000	 	0587	0587
0226797	C	1.0000	30	0.38000000	1978	T	FPC	1.0000	 	0588	0588
0226808	C	1.0000	30	0.13000000	1961	T	FPC	1.0000	 	0581	0581
0226819	C	1.0000	30	0.36000000	1965	T	FPC	1.0000	 	0584	0584
0226820	C	1.0000	30	0.87000000	1965	T	FPC	1.0000	 	0584	0584
0226823	C	1.0000	30	0.27000000	1950	T	FPC	1.0000	 	0579	0579
0226824	C	1.0000	30	0.27000000	1964	T	FPC	1.0000	 	0583	0583
0226825	C	1.0000	30	0.23000000	1950	T	FPC	1.0000	 	0579	0579
0226826	C	1.0000	30	0.23000000	1964	T	FPC	1.0000	 	0583	0583
0226827	C	1.0000	30	0.97000000	1950	T	FPC	1.0000	 	0579	0579
0226828	C	1.0000	30	0.97000000	1964	T	FPC	1.0000	 	0583	0583
0226829	C	1.0000	30	0.37000000	1950	T	FPC	1.0000	 	0579	0579
0226830	C	1.0000	30	0.37000000	1964	T	FPC	1.0000	 	0583	0583
0226831	C	1.0000	30	0.27000000	1965	T	FPC	1.0000	 	0584	0584
0226832	C	1.0000	30	0.93000000	1965	T	FPC	1.0000	 	0584	0584
0226834	C	1.0000	30	0.75000000	1964	T	FPC	1.0000	 	0584	0584
0226835	C	1.0000	30	0.30000000	1965	T	FPC	1.0000	 	0584	0584
0228005	C	1.0000	30	29.3600000	1952	T	FPC	1.0000	 	0759	0759
0278091	C	1.0000	30	0.26000000	1950	T	FPC	1.0000	 	0579	0579
0278092	C	1.0000	30	0.26000000	1964	T	FPC	1.0000	 	0583	0583
0316969	C	1.0000	04	1.55000000	1966	T	ICC	1.0000	 	0000	0000
0317134	C	1.0000	04	1.46000000	1976	T	ICC	1.0000	 	0000	0000
0317168	C	1.0000	04	0.96000000	1966	T	ICC	1.0000	 	0000	0000
0317169	C	1.0000	04	5.94000000	1966	T	ICC	1.0000	 	0000	0000
0317212	C	1.0000	04	3.13000000	1976	T	ICC	1.0000	 	0000	0000
0317348	C	1.0000	04	6.77000000	1966	T	ICC	1.0000	 	0000	0000
0317353	C	1.0000	04	6.88000000	1976	T	ICC	1.0000	 	0000	0000
0317393	C	1.0000	04	0.22000000	1966	T	ICC	1.0000	 	0000	0000
0324474	C	1.0000	06	4.55000000	1980	T	ICC	1.0000	 	0000	0000
0369831	C	1.0000	30	0.20000000	1950	T	FPC	1.0000	 	0584	0584
0369832	C	1.0000	30	0.20000000	1965	T	FPC	1.0000	 	0584	0584
0654526	C	1.0000	30	0.06000000	1972	T	FPC	1.0000	 	0586	0586
0654927	C	1.0000	30	3.10000000	1980	T	FPC	1.0000	 	0579	0579
0654933	C	1.0000	30	2.38000000	1981	T	FPC	1.0000	 	0584	0584
0655254	C	1.0000	30	0.05000000	1983	T	FPC	1.0000	 	0584	0584
0655303	C	1.0000	30	4.45000000	1950	T	FPC	1.0000	 	0584	0584
0655340	C	1.0000	30	0.56000000	1963	T	FPC	1.0000	 	0584	0584
0655350	C	1.0000	30	0.01000000	1988	T	FPC	1.0000	 	0584	0584
0655471	C	1.0000	30	0.05000000	1981	T	FPC	1.0000	 	0584	0584
0655534	C	1.0000	30	0.16000000	1979	T	FPC	1.0000	 	0584	0584
0655564	C	1.0000	30	0.06000000	1964	T	FPC	1.0000	 	0584	0584
0655586	C	1.0000	30	0.04000000	1979	T	FPC	1.0000	 	0584	0584
0655621	C	1.0000	30	4.79000000	1981	T	FPC	1.0000	 	0584	0584
0655644	C	1.0000	30	3.50000000	1983	T	FPC	1.0000	 	0584	0584
0655697	C	1.0000	30	0.03000000	1986	T	FPC	1.0000	 	0584	0584
0655706	C	1.0000	30	0.07000000	1987	T	FPC	1.0000	 	0584	0584
0684170	C	1.0000	30	3.37000000	1964	T	FPC	1.0000	 	0584	0584
0684177	C	1.0000	30	0.06000000	1988	T	FPC	1.0000	 	0584	0584
0867616	C	1.0000	08	0.34600000	1990	T	URG	1.0000	 	0000	0000
0867633	C	1.0000	08	0.85000000	1990	T	URG	1.0000	 	0000	0000
0867689	C	1.0000	30	0.11000000	1999	T	FPC	1.0000	 	0000	0000
0927293	C	1.0000	04	0.04000000	1971	G	URG	1.0000	 	0469	0469
2033370	C	0.0001	01	0.00000000	1901	T	URG	0.0001	 	0000	0000
2035932	C	1.0000	04	0.04500000	1983	T	ICC	1.0000	 	0000	0000
2035961	C	1.0000	04	0.01900000	1990	T	ICC	1.0000	 	0000	0000
2035974	C	1.0000	10	0.47000000	1972	T	ICC	1.0000	 	0000	0000
2035980	C	1.0000	10	1.13500000	1972	T	ICC	1.0000	 	0000	0000
2035988	C	1.0000	10	3.22300000	1972	T	ICC	1.0000	 	0000	0000
2035991	C	1.0000	10	3.29500000	1972	T	ICC	1.0000	 	0000	0000
2036002	C	1.0000	10	6.49300000	1972	T	ICC	1.0000	 	0000	0000
2036008	C	1.0000	20	0.23500000	1947	T	ICC	1.0000	 	0000	0000
2036009	C	1.0000	24	0.74200000	1999	T	ICC	1.0000	 	0000	0000
2058538	C	1.0000	08	4.67900000	1956	T	ICC	1.0000	 	0000	0000
2062511	C	1.0000	16	1.94000000	1966	T	ICC	1.0000	 	1011	1011
