acct	sched_cd	Div_ord	Type_Interest	Interest_Percent
0121088	E	068752	ROYALTY	0.000680
0121089	E	068752	ROYALTY	0.058142
0121090	E	068752	ROYALTY	0.001816
0121091	E	068752	ROYALTY	0.000174
0121098	E	068752	ROYALTY	0.000130
0121100	E	068752	ROYALTY	0.000752
0121101	E	068752	ROYALTY	0.000212
0121104	E	068752	ROYALTY	0.000120
0121105	E	068752	ROYALTY	0.001210
0121107	E	068752	ROYALTY	0.015207
0121109	E	068752	ROYALTY	0.001212
0121115	E	068752	ROYALTY	0.014804
0121118	E	068752	ROYALTY	0.000968
0121119	E	068752	ROYALTY	0.004362
0121120	E	068752	ROYALTY	0.001420
0121121	E	068752	ROYALTY	0.000562
0121125	E	068752	ROYALTY	0.000600
0121126	E	068752	ROYALTY	0.000364
0121128	E	068752	ROYALTY	0.000143
0121134	E	068752	ROYALTY	0.000599
0121146	E	068752	ROYALTY	0.000363
0121156	E	068752	ROYALTY	0.000353
0121166	E	068752	ROYALTY	0.000337
0121167	E	068752	ROYALTY	0.000337
0121168	E	068752	ROYALTY	0.000259
0121169	E	068752	ROYALTY	0.000259
0121170	E	068752	ROYALTY	0.000259
0121171	E	068752	ROYALTY	0.000337
0121566	E	005696	ROYALTY	0.001827
0121568	E	005696	ROYALTY	0.081735
0121570	E	005696	ROYALTY	0.077626
0121572	E	005696	OVERRIDE	0.007446
0121573	E	005696	WORKING	0.738919
0121737	E	012320	WORKING	0.800000
0121740	E	012320	ROYALTY	0.000783
0121747	E	012320	ROYALTY	0.020086
0121748	E	012320	ROYALTY	0.087040
0121755	E	012320	ROYALTY	0.002158
0122379	E	015488	ROYALTY	0.125000
0122380	E	015488	OVERRIDE	0.062500
0122381	E	015488	OVERRIDE	0.062500
0122384	E	015440	OVERRIDE	0.007813
0122386	E	015440	OVERRIDE	0.001953
0122387	E	015440	OVERRIDE	0.125000
0122572	E	001296	ROYALTY	0.009375
0122589	E	001297	ROYALTY	0.016425
0122725	E	001301	ROYALTY	0.001049
0122730	E	001301	ROYALTY	0.009060
0124257	E	001318	ROYALTY	0.013183
0125213	E	013024	ROYALTY	0.005859
0125221	E	013024	ROYALTY	0.041667
0125225	E	013024	ROYALTY	0.008789
0125231	E	013024	ROYALTY	0.014323
0125232	E	013024	ROYALTY	0.014323
0125234	E	013024	ROYALTY	0.014323
0125300	E	016107	ROYALTY	0.062500
0125354	E	001820	ROYALTY	0.033333
0125355	E	001820	ROYALTY	0.152842
0125356	E	001820	OVERRIDE	0.050000
0125360	E	001753	ROYALTY	0.017362
0125361	E	001753	ROYALTY	0.017362
0125365	E	001753	ROYALTY	0.022222
0125366	E	001753	ROYALTY	0.007407
0125374	E	001745	OVERRIDE	0.070000
0125375	E	001745	ROYALTY	0.166667
0125388	E	001758	ROYALTY	0.140625
0125405	E	001761	ROYALTY	0.152842
0125456	E	001765	ROYALTY	0.010417
0125473	E	001766	ROYALTY	0.003968
0125475	E	001766	ROYALTY	0.010416
0125477	E	001766	ROYALTY	0.003968
0125482	E	001766	ROYALTY	0.007813
0125484	E	001766	ROYALTY	0.007813
0125495	E	001822	ROYALTY	0.017361
0125503	E	001822	ROYALTY	0.013021
0125505	E	001822	ROYALTY	0.013021
0125521	E	016030	ROYALTY	0.017361
0125522	E	016030	ROYALTY	0.017361
0125526	E	016030	ROYALTY	0.022222
0125527	E	016030	ROYALTY	0.007407
0125530	E	016030	ROYALTY	0.011111
0125531	E	016030	ROYALTY	0.016667
0125533	E	016030	OVERRIDE	0.007500
0125535	E	016030	OVERRIDE	0.010000
0125698	E	001792	ROYALTY	0.166668
0125701	E	001794	ROYALTY	0.166667
0125704	E	001794	ROYALTY	0.003906
0125706	E	001799	ROYALTY	0.188790
0125710	E	001771	ROYALTY	0.000227
0125713	E	001771	ROYALTY	0.125000
0125714	E	001771	ROYALTY	0.000213
0125716	E	001771	ROYALTY	0.000706
0125718	E	001771	ROYALTY	0.000611
0125719	E	001771	ROYALTY	0.001367
0125720	E	001771	ROYALTY	0.000188
0125726	E	001771	ROYALTY	0.000312
0125728	E	001771	ROYALTY	0.000226
0125746	E	001771	ROYALTY	0.002084
0125747	E	001771	ROYALTY	0.002084
0125748	E	001771	ROYALTY	0.002084
0125749	E	001771	ROYALTY	0.002084
0125750	E	001771	ROYALTY	0.002084
0125762	E	001775	ROYALTY	0.125000
0125765	E	001776	ROYALTY	0.036865
0125768	E	001776	ROYALTY	0.007812
0125772	E	001777	ROYALTY	0.001876
0125775	E	001777	ROYALTY	0.125000
0125777	E	001777	ROYALTY	0.007500
0125780	E	001777	ROYALTY	0.000469
0125781	E	001777	ROYALTY	0.001055
0125783	E	001777	ROYALTY	0.000624
0125785	E	001777	ROYALTY	0.000235
0125788	E	001777	ROYALTY	0.007500
0125790	E	001777	ROYALTY	0.000469
0125792	E	001777	ROYALTY	0.000234
0125794	E	001777	ROYALTY	0.000234
0125795	E	001777	ROYALTY	0.000938
0125797	E	001777	ROYALTY	0.000234
0125799	E	001777	ROYALTY	0.000117
0125800	E	001777	ROYALTY	0.000234
0125801	E	001777	ROYALTY	0.003750
0125803	E	001777	ROYALTY	0.000938
0125807	E	001777	ROYALTY	0.001250
0125808	E	001777	ROYALTY	0.001250
0125809	E	001777	ROYALTY	0.001250
0125810	E	001777	ROYALTY	0.000625
0125811	E	001777	ROYALTY	0.001250
0125813	E	001777	ROYALTY	0.000234
0125814	E	001777	ROYALTY	0.000235
0125862	E	001809	ROYALTY	0.114632
0125864	E	001810	ROYALTY	0.114632
0125865	E	001810	OVERRIDE	0.078125
0125934	E	001827	ROYALTY	0.010417
